race_id,venue,race_date,race_name,distance,grade,single_dog_name,issue_type
gunn_2025-07-30_340_M,GUNN,2025-07-30,,340,M,"Stratavon Sissy","Single dog race - incomplete data"
rich_2025-07-30_401_5,RICH,2025-07-30,,401,5,"Grand Artist","Single dog race - incomplete data"
tare_2025-07-30_525_MX,TARE,2025-07-30,,525,MX,"Witch Rolex","Single dog race - incomplete data"
graf_2025-07-29_350_5,GRAF,2025-07-29,,350,5,"Fascinate Bailey","Single dog race - incomplete data"
war_2025-07-29_400_Grade_5,WAR,2025-07-29,,400,"Grade 5","KENZIE KID","Single dog race - incomplete data"
bal_2025-07-28_450_Tier_3_-_Maiden,BAL,2025-07-28,,450,"Tier 3 - Maiden","JOSIE'S SHADOW","Single dog race - incomplete data"
dubo_2025-07-28_318_M,DUBO,2025-07-28,,318,M,"Lone Sizzler","Single dog race - incomplete data"
lctn_2025-07-28_278_4,LCTN,2025-07-28,,278,4,"OUR ELLIE","Single dog race - incomplete data"
lctn_2025-07-28_278_5,LCTN,2025-07-28,,278,5,"Bearville Whoosh","Single dog race - incomplete data"
lctn_2025-07-28_278_R_W,LCTN,2025-07-28,,278,R/W,"Night Rod","Single dog race - incomplete data"
mait_2025-07-28_400_M,MAIT,2025-07-28,,400,M,"Ella Black","Single dog race - incomplete data"
qst_2025-07-28_350_5,QST,2025-07-28,,350,5,Reacher,"Single dog race - incomplete data"
qst_2025-07-28_350_M5,QST,2025-07-28,,350,M5,"Rowdy Rogue","Single dog race - incomplete data"
qst_2025-07-28_350_PM,QST,2025-07-28,,350,PM,"Missy Moo Moo","Single dog race - incomplete data"
san_2025-07-28_515_Grade_5,SAN,2025-07-28,,515,"Grade 5","WHATEVER HE SAID","Single dog race - incomplete data"
san_2025-07-28_515_Grade_5_No_Penalty,SAN,2025-07-28,,515,"Grade 5 No Penalty","Scott Me","Single dog race - incomplete data"
she_2025-07-28_390_Grade_5,SHE,2025-07-28,,390,"Grade 5","PAW ENNA","Single dog race - incomplete data"
she_2025-07-28_390_Mixed_6_7,SHE,2025-07-28,,390,"Mixed 6/7","TAYLOR'S GIRL","Single dog race - incomplete data"
war_2025-07-28_450_Maiden,WAR,2025-07-28,,450,Maiden,"RUGRAT TOMMY","Single dog race - incomplete data"
bkhl_2025-07-27_375_4_5,BKHL,2025-07-27,,375,4/5,"ARCHER NINE","Single dog race - incomplete data"
bkhl_2025-07-27_375_5,BKHL,2025-07-27,,375,5,"Fish To Fry","Single dog race - incomplete data"
bkhl_2025-07-27_375_M,BKHL,2025-07-27,,375,M,"Archer Eleven","Single dog race - incomplete data"
capa_2025-07-27_366_4_5,CAPA,2025-07-27,,366,4/5,"Daysea's Katie","Single dog race - incomplete data"
graf_2025-07-27_350_4_5,GRAF,2025-07-27,,350,4/5,Precocious,"Single dog race - incomplete data"
graf_2025-07-27_350_M,GRAF,2025-07-27,,350,M,"Bugatti Crackers","Single dog race - incomplete data"
graf_2025-07-27_350_NG1-4,GRAF,2025-07-27,,350,NG1-4,"Lumbar Puncture","Single dog race - incomplete data"
graf_2025-07-27_450_4_5,GRAF,2025-07-27,,450,4/5,"Smooth Panther","Single dog race - incomplete data"
graf_2025-07-27_450_5,GRAF,2025-07-27,,450,5,Salvatore,"Single dog race - incomplete data"
hea_2025-07-27_300_Restricted_Win_Final,HEA,2025-07-27,,300,"Restricted Win Final","YEAH YOU","Single dog race - incomplete data"
hea_2025-07-27_350_Mixed_6_7,HEA,2025-07-27,,350,"Mixed 6/7","ORANGE RATIO","Single dog race - incomplete data"
mbr_2025-07-27_300_5,MBR,2025-07-27,,300,5,"Nat Nismo","Single dog race - incomplete data"
mbr_2025-07-27_395_6,MBR,2025-07-27,,395,6,"CAPTAIN DEMI","Single dog race - incomplete data"
mt_g_2025-07-27_305_3_4_5,MT_G,2025-07-27,,305,3/4/5,"Myola Thunder","Single dog race - incomplete data"
mt_g_2025-07-27_400_6,MT_G,2025-07-27,,400,6,"ARCHER EIGHT","Single dog race - incomplete data"
rich_2025-07-27_401_4_5,RICH,2025-07-27,,401,4/5,"Emgrand Drive","Single dog race - incomplete data"
rich_2025-07-27_401_5,RICH,2025-07-27,,401,5,Dire,"Single dog race - incomplete data"
rock_2025-07-27_407_3_4,ROCK,2025-07-27,,407,3/4,"Farmor Left","Single dog race - incomplete data"
sal_2025-07-27_435_Maiden,SAL,2025-07-27,,435,Maiden,"MONTY'S RETURN","Single dog race - incomplete data"
sal_2025-07-27_510_Grade_5,SAL,2025-07-27,,510,"Grade 5","Madalia Zoom","Single dog race - incomplete data"
sal_2025-07-27_510_Mixed_6_7_Heat,SAL,2025-07-27,,510,"Mixed 6/7 Heat","DR. AZURE","Single dog race - incomplete data"
bal_2025-07-26_390_Mixed_6_7,BAL,2025-07-26,,390,"Mixed 6/7","MAGIC TIGERESS","Single dog race - incomplete data"
cann_2025-07-26_381_5,CANN,2025-07-26,,381,5,"Elite General","Single dog race - incomplete data"
cann_2025-07-26_520_5,CANN,2025-07-26,,520,5,"Lady Sherwood","Single dog race - incomplete data"
cann_2025-07-26_520_M,CANN,2025-07-26,,520,M,"Flame On","Single dog race - incomplete data"
cann_2025-07-26_601_4_5,CANN,2025-07-26,,601,4/5,"Tilly Rose","Single dog race - incomplete data"
dubo_2025-07-26_318_4_5,DUBO,2025-07-26,,318,4/5,"Armatree Ace","Single dog race - incomplete data"
dubo_2025-07-26_318_M2_M3,DUBO,2025-07-26,,318,M2/M3,"Arrow Fernando","Single dog race - incomplete data"
dubo_2025-07-26_516_MX,DUBO,2025-07-26,,516,MX,"Arctic Image","Single dog race - incomplete data"
dubo_2025-07-26_605_5,DUBO,2025-07-26,,605,5,"Swift Bonnie","Single dog race - incomplete data"
grdn_2025-07-26_400_FFA,GRDN,2025-07-26,,400,FFA,"Good Pub Feed","Single dog race - incomplete data"
mea_2025-07-26_525_Mixed_6_7_Final,MEA,2025-07-26,,525,"Mixed 6/7 Final","ASCEND IGLOO","Single dog race - incomplete data"
mea_2025-07-26_525_S_E_Group_1,MEA,2025-07-26,,525,"S/E Group 1","UPSET SUNSET","Single dog race - incomplete data"
qot_2025-07-26_457_M,QOT,2025-07-26,,457,M,"Zipping Hagen","Single dog race - incomplete data"
qot_2025-07-26_550_R_W,QOT,2025-07-26,,550,R/W,"Closing Model","Single dog race - incomplete data"
w_pk_2025-07-26_520_4_5,W_PK,2025-07-26,,520,4/5,"Epic Story","Single dog race - incomplete data"
w_pk_2025-07-26_720_NG,W_PK,2025-07-26,,720,NG,"Mia Magnifico","Single dog race - incomplete data"
ben_2025-07-25_425_Grade_7,BEN,2025-07-25,,425,"Grade 7","KAIA GOT SQUARE","Single dog race - incomplete data"
ben_2025-07-25_425_Maiden_Final,BEN,2025-07-25,,425,"Maiden Final","MEPUNGA SANDY","Single dog race - incomplete data"
gee_2025-07-25_400_Mixed_3_4,GEE,2025-07-25,,400,"Mixed 3/4","MAN OF COURAGE","Single dog race - incomplete data"
gee_2025-07-25_460_Grade_5_Final,GEE,2025-07-25,,460,"Grade 5 Final","UP HILL SHILOH","Single dog race - incomplete data"
grdn_2025-07-25_400_NG1-4,GRDN,2025-07-25,,400,NG1-4,"Giggling Dixie","Single dog race - incomplete data"
hea_2025-07-25_300_Tier_3_-_Maiden,HEA,2025-07-25,,300,"Tier 3 - Maiden","FILL THE TANK","Single dog race - incomplete data"
hea_2025-07-25_300_Tier_3_-_Restricted_Win,HEA,2025-07-25,,300,"Tier 3 - Restricted Win",NESHIA,"Single dog race - incomplete data"
mand_2025-07-25_400_4,MAND,2025-07-25,,400,4,"Oliver Gundi","Single dog race - incomplete data"
mand_2025-07-25_400_4_5,MAND,2025-07-25,,400,4/5,"Fearless Parker","Single dog race - incomplete data"
mand_2025-07-25_400_5,MAND,2025-07-25,,400,5,"Pingelly Prince","Single dog race - incomplete data"
mand_2025-07-25_400_FFA,MAND,2025-07-25,,400,FFA,"Our Benson","Single dog race - incomplete data"
mand_2025-07-25_488_4_5,MAND,2025-07-25,,488,4/5,"Little Wildfire","Single dog race - incomplete data"
tvle_2025-07-25_498_6,TVLE,2025-07-25,,498,6,"ZERO LIMERICK","Single dog race - incomplete data"
waga_2025-07-25_320_M,WAGA,2025-07-25,,320,M,"Just Arthur","Single dog race - incomplete data"
waga_2025-07-25_400_NG1-4,WAGA,2025-07-25,,400,NG1-4,"Let's Go Legend","Single dog race - incomplete data"
